setup,dir,n,scrips,dates,raw%,xs%,xs_hit%,p
TREND D v>=+70 adx>=20 struct/rsi confirm,L,4208,10,2338,0.9601381910958894,0.4109326557539998,49.14448669201521,1.0859822629827303e-08
TREND D v>=+80 adx>=20 struct/rsi confirm,L,3531,10,2037,0.8221254149538377,0.2799631453511106,48.08836023789295,2.956429276621931e-06
TREND W v>=+80 adx>=20 struct/rsi confirm,L,1995,7,1402,0.8728932423188419,0.44797252008872845,50.97744360902256,3.0543846603527953e-06
TREND 240m v>=+70 adx>=20 struct/rsi confirm,L,285,8,176,1.4658617525887263,1.250567951428037,52.98245614035088,3.158029864048449e-05
FADE W v>=+80 adx>=20 rsi>=65 (sell the rip),S,1228,7,917,-1.1333300936720292,-0.4930168713028959,47.47557003257329,5.386154332451343e-05
TREND 240m v<=-70 adx>=20 struct/rsi confirm,S,261,7,123,0.6711746655780093,0.821032788749497,64.75095785440614,0.00028971734113510995
TREND D v<=-80 adx>=20 struct/rsi confirm,S,3762,9,1754,-0.203138812373597,-0.31678145966622284,53.32270069112174,0.0002986791780206353
TREND D v<=-90 adx>=20 struct/rsi confirm,S,2824,9,1409,-0.46244700995683385,-0.428564627126653,52.79745042492918,0.0004384854666263091
TREND W v>=+70 adx>=20 struct/rsi confirm,L,2542,8,1587,0.9020854564159975,0.4229506470416712,50.275373721479156,0.0005563432004268725
ALIGN 240m&D both>=+50 adxD>=20,L,386,7,205,0.3909934114023627,0.5690364655611881,47.92746113989637,0.0014450078329936672
TREND 240m v>=+80 adx>=20 struct/rsi confirm,L,220,8,167,0.9709005404061992,1.0435551955886955,52.27272727272727,0.002247739233237664
TREND D v<=-70 adx>=20 struct/rsi confirm,S,4639,9,2090,-0.13824124487683534,-0.2242894618320386,53.22267730114248,0.0024177219460778106
FADE D v<=-90 adx>=20 rsi<=35 (buy the dip),L,1596,9,954,0.8238254295713423,0.635257966210994,47.30576441102757,0.004150268239343715
TREND 240m v<=-80 adx>=20 struct/rsi confirm,S,224,7,110,0.45089517745191976,0.6639458580513937,62.5,0.0053349289960970174
ALIGN 240m&D both<=-70 adxD>=20,S,210,6,116,0.9625584463770759,0.9987932043062165,64.28571428571429,0.005545144058650059
TREND D v>=+90 adx>=20 struct/rsi confirm,L,2705,10,1664,0.5116139552534756,0.09321578174868637,47.245841035120144,0.009495929397059021
FADE D v<=-80 adx>=20 rsi<=35 (buy the dip),L,2008,9,1172,0.42974538365501375,0.46540324571907854,47.16135458167331,0.010175173288556126
FADE D v>=+70 adx>=20 rsi>=65 (sell the rip),S,2005,10,1392,-0.8097020934826091,-0.3472221872416791,51.6209476309227,0.010472197601598749
FADE W v>=+70 adx>=20 rsi>=65 (sell the rip),S,1457,7,1007,-1.099897139397252,-0.3732098701626802,49.27934111187371,0.011955240012536306
FADE W v<=-70 adx>=20 rsi<=35 (buy the dip),L,1769,8,956,0.39957821861304726,0.5950611806367709,46.919163369135106,0.013855037303181043
TREND W v<=-80 adx>=20 struct/rsi confirm,S,2963,8,1359,0.08920774641822994,0.18736208732721157,56.3955450556868,0.015881849499276703
TREND 240m v>=+90 adx>=20 struct/rsi confirm,L,158,7,138,0.9438330654455517,1.1092178580525378,54.43037974683544,0.021035882455933217
FADE W v<=-90 adx>=20 rsi<=35 (buy the dip),L,1415,7,809,0.1694028858369258,0.5390545830436767,45.79505300353357,0.024694405533494418
FADE D v>=+80 adx>=20 rsi>=65 (sell the rip),S,1707,10,1205,-0.6417976384579287,-0.2376233329977918,52.13825424721734,0.026189466351313327
FADE D v<=-70 adx>=20 rsi<=35 (buy the dip),L,2379,9,1331,0.3442036628896566,0.3771737901770028,47.45691467002943,0.027432031297004646
TREND W v<=-90 adx>=20 struct/rsi confirm,S,2525,7,1169,0.08395847495174275,0.17178338345862745,55.84158415841585,0.02784392090583709
FADE 240m v>=+70 adx>=20 rsi>=65 (sell the rip),S,136,8,103,-1.232788810379743,-1.1964106416685947,51.470588235294116,0.03571458776169515
TREND W v<=-70 adx>=20 struct/rsi confirm,S,3383,8,1482,-0.05945258030454448,0.13277512820205242,55.71977534732486,0.041747025917260136
FADE W v<=-80 adx>=20 rsi<=35 (buy the dip),L,1596,8,868,0.1312639403660188,0.48063803830251794,45.802005012531325,0.047243138562701605
TREND 240m v<=-90 adx>=20 struct/rsi confirm,S,161,7,86,0.32515302286309566,0.5819640361317301,62.732919254658384,0.0556239427380105
ALIGN 240m&D both<=-50 adxD>=20,S,347,8,160,-0.004870275773784816,0.4576787599692965,59.0778097982709,0.14635675854328384
FADE D v>=+90 adx>=20 rsi>=65 (sell the rip),S,1385,10,999,-0.21149666607245246,-0.03391763455121028,52.851985559566785,0.24863898350909708
FADE 240m v>=+80 adx>=20 rsi>=65 (sell the rip),S,112,8,95,-0.2889149495680397,-0.5264187012986127,53.57142857142857,0.288727607424305
FADE W v>=+90 adx>=20 rsi>=65 (sell the rip),S,909,7,740,-0.9429435703517038,-0.1060636850646213,51.375137513751376,0.3078583753658115
FADE 240m v>=+90 adx>=20 rsi>=65 (sell the rip),S,84,7,83,-0.32495487001024276,-0.696969286200738,50.0,0.35921492124328086
FADE 240m v<=-90 adx>=20 rsi<=35 (buy the dip),L,92,7,56,-0.33429515201593424,0.07518949732183584,46.73913043478261,0.36204997304884784
FADE 240m v<=-80 adx>=20 rsi<=35 (buy the dip),L,121,7,70,-0.5112945320168707,-0.18014675321938706,44.62809917355372,0.6337317067934072
ALIGN 240m&D both>=+70 adxD>=20,L,217,6,176,-0.08448286068308135,0.034902304815291614,44.23963133640553,0.6644494707829343
FADE 240m v<=-70 adx>=20 rsi<=35 (buy the dip),L,139,7,76,-0.5191313584704341,-0.22806887974612883,43.884892086330936,0.8289822979955757
TREND W v>=+90 adx>=20 struct/rsi confirm,L,1324,7,1012,0.5979169525524174,-0.04441958227945514,47.507552870090635,0.8312017811804326
