symbol,timestamp,entry_open,entry_high,entry_low,entry_close,daily_rsi,weekly_rsi,daily_adx,weekly_adx,mfe,mae,final_ret,window_days,comment,fwd_1w,o_1w,h_1w,l_1w,c_1w,date_1w,fwd_2w,o_2w,h_2w,l_2w,c_2w,date_2w,fwd_30d,o_30d,h_30d,l_30d,c_30d,date_30d,fwd_60d,o_60d,h_60d,l_60d,c_60d,date_60d,fwd_90d,o_90d,h_90d,l_90d,c_90d,date_90d,fwd_120d,o_120d,h_120d,l_120d,c_120d,date_120d,fwd_180d,o_180d,h_180d,l_180d,c_180d,date_180d,fwd_270d,o_270d,h_270d,l_270d,c_270d,date_270d,fwd_365d,o_365d,h_365d,l_365d,c_365d,date_365d,batch,mfe_bucket,reviewed
DIACABS,2022-05-02,0.17,0.18,0.17,0.18,50.07907836468763,50.00280699263213,34.94047013982563,24.045841993297177,11.944444444444445,0.0,11.944444444444445,504.0,,0.0,0.18,0.18,0.18,0.18,2022-05-09,0.05555555555555558,0.19,0.19,0.19,0.19,2022-05-16,0.05555555555555558,0.19,0.19,0.19,0.19,2022-06-06,0.05555555555555558,0.19,0.19,0.19,0.19,2022-07-04,0.05555555555555558,0.19,0.19,0.19,0.19,2022-08-01,0.11111111111111116,0.2,0.2,0.2,0.2,2022-09-05,11.944444444444445,2.22,2.33,2.22,2.33,2023-09-18,11.944444444444445,2.22,2.33,2.22,2.33,2023-09-18,11.944444444444445,2.22,2.33,2.22,2.33,2023-09-18,12,9,False
JAIBALAJI,2023-07-13,19.44,19.44,18.53,19.06,71.74959567333521,69.15846852659291,42.618034410149896,51.715600037819804,8.37722980062959,0.0,8.37722980062959,179.0,,0.2256033578174188,21.56,23.47,21.25,23.36,2023-07-20,0.49422875131164745,28.48,28.48,28.48,28.48,2023-07-27,1.4223504721930746,42.24,46.5,42.24,46.17,2023-08-14,2.5173137460650583,66.8,67.94,63.2,67.04,2023-09-11,4.353095487932844,100.58,103.8,98.0,102.03,2023-10-11,5.019412381951732,120.0,121.96,114.73,114.73,2023-11-10,8.603357817418678,186.0,186.6,182.0,183.04,2024-01-09,10.008394543546695,205.0,209.82,203.22,209.82,2024-04-08,8.119622245540398,175.78,176.39,173.24,173.82,2024-07-12,14,9,False
FORCEMOT,2023-04-03,1166.0,1264.0,1166.0,1233.8,36.64899501379851,35.475415665310756,46.14426928758057,36.70872927255187,3.9285945858323874,0.0,3.9285945858323874,330.0,,0.05872102447722494,1287.15,1325.15,1275.3,1306.25,2023-04-10,0.025328254174096232,1266.25,1272.1,1241.1,1265.05,2023-04-17,0.08915545469281905,1345.6,1351.5,1339.3,1343.8,2023-05-03,0.5564110876965473,1859.0,1929.9,1836.05,1920.3,2023-06-02,1.21413519208948,2710.0,2796.6,2665.0,2731.8,2023-07-03,1.0999351596693145,2578.0,2625.0,2550.05,2590.9,2023-08-01,2.116712595234236,3831.6,3944.0,3810.0,3845.4,2023-10-03,2.584576106338142,4400.0,4587.0,4250.1,4422.65,2024-02-14,5.120684065488734,7602.0,7689.0,7470.0,7551.7,2024-04-02,6,9,False
SUZLON,2023-04-03,7.9,8.2,7.9,8.1,40.918250753857535,40.467794014030304,25.46996588490497,22.049918031910813,3.7716049382716053,-0.01851851851851849,3.7716049382716053,224.0,,-0.006172839506172756,8.2,8.2,8.0,8.05,2023-04-10,0.006172839506172867,8.0,8.2,7.95,8.15,2023-04-17,0.0,8.1,8.3,8.0,8.1,2023-05-03,0.3580246913580247,11.25,11.4,10.85,11.0,2023-06-02,1.0740740740740744,15.75,16.8,15.75,16.8,2023-07-03,1.3827160493827164,19.55,19.85,19.1,19.3,2023-08-01,2.3271604938271606,25.95,27.05,25.75,26.95,2023-10-03,3.71604938271605,38.55,38.7,38.0,38.2,2023-12-29,4.246913580246914,41.8,43.0,40.4,42.5,2024-04-02,4,9,False
ANANDRATHI,2023-07-06,226.13,228.96,224.0,224.56,64.50529615341073,63.657474555971845,56.05517991112057,33.34378996985173,3.6605806911293195,0.0,3.5894193088706796,327.0,,0.11591556822230142,246.25,273.16,243.75,250.59,2023-07-13,0.15403455646597775,257.25,260.0,255.31,259.15,2023-07-20,0.437611328820805,324.5,329.7,314.31,322.83,2023-08-07,0.5588261489134307,352.74,352.74,348.25,350.05,2023-09-04,0.979337370858568,434.49,449.96,428.03,444.48,2023-10-04,1.2539633060206623,507.19,512.0,491.3,506.15,2023-11-03,1.870724973281083,643.75,657.75,627.51,644.65,2024-01-02,3.030682223013894,937.25,943.75,892.1,905.13,2024-04-01,3.4645529034556466,972.14,1005.0,966.68,1002.56,2024-07-05,6,9,False
SKYGOLD,2023-08-14,27.27,27.27,27.27,27.27,40.25259102846974,38.162759284194095,30.94988010087226,21.44206320654036,3.6351301796846354,0.0,2.86982031536487,233.0,,0.07004033736706994,29.18,29.18,29.18,29.18,2023-08-21,0.0517051705170517,28.91,28.91,28.68,28.68,2023-08-28,0.022735606894022764,27.89,27.89,27.89,27.89,2023-09-13,0.9633296662999633,49.1,55.44,49.1,53.54,2023-10-13,1.9508617528419507,80.47,80.47,80.47,80.47,2023-11-12,2.902823615694903,106.43,116.0,106.43,106.43,2023-12-12,3.0022002200220026,110.99,112.5,107.0,109.14,2024-02-12,3.4297763109644297,121.6,124.0,119.8,120.8,2024-05-10,8.037037037037036,246.44,246.44,246.44,246.44,2024-08-13,14,9,False
AURIONPRO,2023-04-05,162.48,164.25,158.0,163.48,40.82934985021586,39.714189621877345,44.66448521529535,21.01491243314588,3.492598482994862,0.0,3.492598482994862,196.0,,0.043430389038414674,163.85,171.45,163.73,170.58,2023-04-12,0.041717641301688424,174.5,175.0,169.35,170.3,2023-04-19,0.3888549057988746,216.35,233.95,213.53,227.05,2023-05-05,1.4684976755566432,402.0,422.25,392.75,403.55,2023-06-05,1.8086004404208467,469.5,472.5,455.0,459.15,2023-07-04,2.400905309517984,555.0,565.0,535.0,555.98,2023-08-03,2.875091754343039,624.5,635.0,610.0,633.5,2023-10-03,5.7878639588940555,1088.4,1120.0,1085.0,1109.68,2024-01-01,6.334536334719844,1171.58,1210.0,1171.58,1199.05,2024-04-04,15,9,False
PGEL,2024-03-19,169.3,176.14,167.32,173.45,36.693692415741765,34.61961454431755,30.865310766562494,44.399606890527195,3.313346785817239,-0.0867685211876621,3.313346785817239,258.0,,-0.0867685211876621,164.7,166.33,157.15,158.4,2024-03-26,0.037878351109829955,179.25,181.0,176.0,180.02,2024-04-02,0.08999711732487747,183.01,191.52,182.1,189.06,2024-04-18,0.265436725281061,214.7,221.9,213.7,219.49,2024-05-18,0.7336984721821851,297.54,302.88,291.26,300.71,2024-06-18,1.0579417699625253,364.8,365.95,350.9,356.95,2024-07-18,2.543960795618334,618.95,637.0,608.0,614.7,2024-09-16,4.76621504756414,933.0,1014.0,930.0,1000.15,2024-12-16,4.149322571346209,898.0,901.95,875.0,893.15,2025-03-19,9,9,False
CUPID,2025-07-11,21.96,23.8,21.94,23.7,69.88942018080905,67.02992411359965,45.68147543067874,35.74533183343455,3.1063291139240503,0.0,3.1063291139240503,171.0,,0.23839662447257393,26.98,29.59,26.87,29.35,2025-07-18,0.2481012658227848,29.58,30.96,29.3,29.58,2025-07-25,0.39367088607594947,33.82,34.68,31.82,33.03,2025-08-11,0.658649789029536,37.6,39.8,37.46,39.31,2025-09-09,1.027848101265823,43.11,49.68,42.12,48.06,2025-10-09,1.205485232067511,54.0,54.0,50.81,52.27,2025-11-10,2.6607594936708865,87.96,93.79,84.3,86.76,2026-01-07,2.6430379746835446,88.0,89.89,85.76,86.34,2026-04-07,7.727004219409283,212.24,215.25,205.0,206.83,2026-07-13,9,9,False
IRCON,2023-03-31,54.0,56.45,53.85,56.0,52.03647816656322,47.82794178278585,20.39589740930349,32.085676255142886,2.6669642857142857,0.0,2.6669642857142857,291.0,,0.03482142857142856,58.9,58.9,57.6,57.95,2023-04-10,0.025892857142857162,58.6,58.65,57.25,57.45,2023-04-17,0.5410714285714284,75.0,87.95,74.9,86.3,2023-05-02,0.4276785714285716,82.95,83.65,79.3,79.95,2023-05-30,0.4910714285714286,84.5,84.5,83.3,83.5,2023-06-30,0.7375,93.75,97.85,93.05,97.3,2023-07-31,1.5455357142857147,141.45,144.0,141.05,142.55,2023-09-27,2.057142857142857,167.2,173.0,165.7,171.2,2023-12-26,3.057142857142857,221.7,228.0,220.55,227.2,2024-04-01,9,9,False
