Date_of_Analysis,Scrip,Exchange,Close,Daily_TF_Comment,Weekly_TF_Comment,Monthly_TF_Comment,Overall_Verdict,Buy_Sell_Reco,Score
2026-07-26 18:20,360ONE,NSE_EQ,1102.3,"Above rising 50D, bullish stack, +1% vs 200D; mid-range","Above rising 50W, bullish stack, +25% vs 200W; mid-range","Above rising 20M, bullish stack, +28% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,ABB,NSE_EQ,7375.5,"Above rising 50D, bullish stack, +16% vs 200D; mid-range","Above rising 50W, bullish stack, +39% vs 200W; near highs","Above rising 20M, bullish stack, +40% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,ABCAPITAL,NSE_EQ,393.85,"Above rising 50D, bullish stack, +16% vs 200D; mid-range","Above rising 50W, bullish stack, +63% vs 200W; mid-range","Above rising 20M, bullish stack, +65% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,ADANIENSOL,NSE_EQ,1702.2,"Above rising 50D, bullish stack, +38% vs 200D; near highs","Above rising 50W, bullish stack, +54% vs 200W; near highs","Above rising 20M, bullish stack, +54% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,ADANIENT,NSE_EQ,3026.4,"Above rising 50D, bullish stack, +19% vs 200D; mid-range","Above rising 50W, bullish stack, +30% vs 200W; mid-range","Above rising 20M, bullish stack, +31% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,ALKEM,NSE_EQ,5633.5,"Above rising 50D, bullish stack, +3% vs 200D; mid-range","Above rising 50W, bullish stack, +17% vs 200W; mid-range","Above rising 20M, bullish stack, +19% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,APOLLOHOSP,NSE_EQ,8805.5,"Above rising 50D, bullish stack, +12% vs 200D; near highs","Above rising 50W, bullish stack, +37% vs 200W; near highs","Above rising 20M, bullish stack, +40% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,GMRAIRPORT,NSE_EQ,107.12,"Above rising 50D, bullish stack, +8% vs 200D; mid-range","Above rising 50W, bullish stack, +37% vs 200W; mid-range","Above rising 20M, bullish stack, +40% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,BIOCON,NSE_EQ,433.65,"Above rising 50D, bullish stack, +11% vs 200D; near highs","Above rising 50W, bullish stack, +26% vs 200W; near highs","Above rising 20M, bullish stack, +27% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,BOSCHLTD,NSE_EQ,41755.0,"Above rising 50D, bullish stack, +13% vs 200D; near highs","Above rising 50W, bullish stack, +39% vs 200W; near highs","Above rising 20M, bullish stack, +41% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,CHOLAFIN,NSE_EQ,1724.4,"Above rising 50D, bullish stack, +6% vs 200D; mid-range","Above rising 50W, bullish stack, +32% vs 200W; mid-range","Above rising 20M, bullish stack, +35% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,BHARATFORG,NSE_EQ,2151.6,"Above rising 50D, bullish stack, +23% vs 200D; near highs","Above rising 50W, bullish stack, +65% vs 200W; near highs","Above rising 20M, bullish stack, +66% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,BHEL,NSE_EQ,417.3,"Above rising 50D, bullish stack, +28% vs 200D; mid-range","Above rising 50W, bullish stack, +85% vs 200W; near highs","Above rising 20M, bullish stack, +85% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,BAJFINANCE,NSE_EQ,1012.8,"Above rising 50D, bullish stack, +7% vs 200D; mid-range","Above rising 50W, bullish stack, +26% vs 200W; mid-range","Above rising 20M, bullish stack, +28% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,BAJAJ-AUTO,NSE_EQ,11130.0,"Above rising 50D, bullish stack, +15% vs 200D; near highs","Above rising 50W, bullish stack, +42% vs 200W; near highs","Above rising 20M, bullish stack, +44% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,AUROPHARMA,NSE_EQ,1532.0,"Above rising 50D, bullish stack, +14% vs 200D; mid-range","Above rising 50W, bullish stack, +38% vs 200W; mid-range","Above rising 20M, bullish stack, +39% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,EICHERMOT,NSE_EQ,7628.0,"Above rising 50D, bullish stack, +8% vs 200D; mid-range","Above rising 50W, bullish stack, +44% vs 200W; mid-range","Above rising 20M, bullish stack, +47% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,GRASIM,NSE_EQ,3089.4,"Above rising 50D, bullish stack, +6% vs 200D; mid-range","Above rising 50W, bullish stack, +29% vs 200W; mid-range","Above rising 20M, bullish stack, +30% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,HAL,NSE_EQ,4573.4,"Above rising 50D, bullish stack, +5% vs 200D; mid-range","Above rising 50W, bullish stack, +31% vs 200W; mid-range","Above rising 20M, bullish stack, +34% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,FEDERALBNK,NSE_EQ,354.3,"Above rising 50D, bullish stack, +26% vs 200D; near highs","Above rising 50W, bullish stack, +77% vs 200W; near highs","Above rising 20M, bullish stack, +78% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,DIVISLAB,NSE_EQ,7248.5,"Above rising 50D, bullish stack, +12% vs 200D; near highs","Above rising 50W, bullish stack, +37% vs 200W; near highs","Above rising 20M, bullish stack, +39% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,EXIDEIND,NSE_EQ,443.0,"Above rising 50D, bullish stack, +19% vs 200D; near highs","Above rising 50W, bullish stack, +30% vs 200W; near highs","Above rising 20M, bullish stack, +32% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,CUMMINSIND,NSE_EQ,5600.5,"Above rising 50D, bullish stack, +15% vs 200D; mid-range","Above rising 50W, bullish stack, +69% vs 200W; mid-range","Above rising 20M, bullish stack, +71% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,PHOENIXLTD,NSE_EQ,2010.7,"Above rising 50D, bullish stack, +13% vs 200D; mid-range","Above rising 50W, bullish stack, +44% vs 200W; mid-range","Above rising 20M, bullish stack, +47% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,TITAN,NSE_EQ,4677.0,"Above rising 50D, bullish stack, +13% vs 200D; near highs","Above rising 50W, bullish stack, +38% vs 200W; near highs","Above rising 20M, bullish stack, +40% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,TORNTPHARM,NSE_EQ,4961.5,"Above rising 50D, bullish stack, +18% vs 200D; near highs","Above rising 50W, bullish stack, +61% vs 200W; near highs","Above rising 20M, bullish stack, +63% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,ZYDUSLIFE,NSE_EQ,1108.7,"Above rising 50D, bullish stack, +11% vs 200D; mid-range","Above rising 50W, bullish stack, +31% vs 200W; mid-range","Above rising 20M, bullish stack, +34% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,TVSMOTOR,NSE_EQ,3870.2,"Above rising 50D, bullish stack, +11% vs 200D; near highs","Above rising 50W, bullish stack, +54% vs 200W; near highs","Above rising 20M, bullish stack, +58% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,SONACOMS,NSE_EQ,717.95,"Above rising 50D, bullish stack, +28% vs 200D; near highs","Above rising 50W, bullish stack, +33% vs 200W; near highs","Above rising 20M, bullish stack, +33% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,SUNPHARMA,NSE_EQ,1941.1,"Above rising 50D, bullish stack, +9% vs 200D; near highs","Above rising 50W, bullish stack, +29% vs 200W; near highs","Above rising 20M, bullish stack, +31% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,PRESTIGE,NSE_EQ,1592.8,"Above rising 50D, bullish stack, +6% vs 200D; mid-range","Above rising 50W, bullish stack, +28% vs 200W; mid-range","Above rising 20M, bullish stack, +32% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,SOLARINDS,NSE_EQ,18494.0,"Above rising 50D, bullish stack, +20% vs 200D; near highs","Above rising 50W, bullish stack, +76% vs 200W; near highs","Above rising 20M, bullish stack, +79% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,PAYTM,NSE_EQ,1283.2,"Above rising 50D, bullish stack, +12% vs 200D; mid-range","Above rising 50W, bullish stack, +30% vs 200W; mid-range","Above rising 20M, bullish stack, +28% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,PNBHOUSING,NSE_EQ,1058.0,"Above rising 50D, bullish stack, +10% vs 200D; mid-range","Above rising 50W, bullish stack, +31% vs 200W; mid-range","Above rising 20M, bullish stack, +33% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,PIDILITIND,NSE_EQ,1570.9,"Above rising 50D, bullish stack, +6% vs 200D; mid-range","Above rising 50W, bullish stack, +14% vs 200W; near highs","Above rising 20M, bullish stack, +15% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,MARICO,NSE_EQ,855.6,"Above rising 50D, bullish stack, +10% vs 200D; near highs","Above rising 50W, bullish stack, +32% vs 200W; near highs","Above rising 20M, bullish stack, +33% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,LTF,NSE_EQ,302.4,"Above rising 50D, bullish stack, +10% vs 200D; mid-range","Above rising 50W, bullish stack, +56% vs 200W; mid-range","Above rising 20M, bullish stack, +58% vs 50M; mid-range","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,OBEROIRLTY,NSE_EQ,1821.2,"Above rising 50D, bullish stack, +8% vs 200D; mid-range","Above rising 50W, bullish stack, +24% vs 200W; mid-range","Above rising 20M, bullish stack, +26% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
2026-07-26 18:20,NYKAA,NSE_EQ,322.8,"Above rising 50D, bullish stack, +22% vs 200D; near highs","Above rising 50W, bullish stack, +39% vs 200W; near highs","Above rising 20M, bullish stack, +36% vs 50M; near highs","LT(M) up, Wkly up, Daily up — aligned uptrend across all TFs.",STRONG BUY,10.8
